Dataset,CAM,MLP,DeepGS,ResGS,CropFormer,DNNGP,woGlobal,woLocal,RRBLUP,AdaBoostRegressor,ElasticNet,KRR_cos,KRR_rbf,KRR_sig,Lasso,RandomForest,SVR_rbf,woCluster
ALMA,0.3031,0.2659,0.2669,0.1871,0.2569,0.2357,0.2439,0.251,0.3079,0.1876,0.2466,0.169,0.1948,0.1534,0.2152,0.198,0.1785,0.2208
ALMD,0.2854,0.2527,0.2291,0.2166,0.2391,0.2083,0.259,0.2647,0.2963,0.1795,0.2286,0.1637,0.1853,0.1507,0.194,0.1901,0.1747,0.2018
CLMA,0.2905,0.2531,0.2468,0.1561,0.2368,0.2291,0.2129,0.2436,0.2939,0.1672,0.2181,0.1531,0.1747,0.1401,0.1981,0.1713,0.1651,0.2101
CLMD,0.2869,0.2565,0.2144,0.1443,0.2705,0.1949,0.2511,0.2506,0.2989,0.1733,0.2355,0.1618,0.1864,0.1471,0.214,0.1799,0.1702,0.2034
Y_age,0.2815,0.2326,0.2142,0.2049,0.2414,0.2662,0.2178,0.2108,0.2905,0.1926,0.262,0.1837,0.2098,0.166,0.2441,0.1989,0.186,0.1615
Y_bf,0.2462,0.2037,0.1964,0.1741,0.1949,0.2305,0.162,0.2275,0.2677,0.1811,0.1809,0.1644,0.1699,0.1611,0.1662,0.1883,0.179,0.1981
Z_age,0.4131,0.4101,0.3351,0.1709,0.3797,0.3497,0.3348,0.3337,0.4074,0.2627,0.374,0.267,0.3027,0.2415,0.3605,0.2661,0.2634,0.2097
Z_bf,0.4238,0.4128,0.372,0.0974,0.3645,0.3656,0.3495,0.3694,0.4179,0.2983,0.3748,0.3117,0.3327,0.2949,0.3517,0.2929,0.311,0.3527
HT,0.6238,0.5573,0.5073,0.5073,0.48,0.5613,0.5953,0.5689,0.6167,0.5857,0.5255,0.5705,0.5555,0.5795,0.499,0.588,0.5867,0.5572
MO,0.6098,0.5639,0.5430,0.4755,0.4499,0.5751,0.5603,0.5526,0.5821,0.5303,0.534,0.5148,0.5212,0.5109,0.5117,0.5355,0.5245,0.5332
YLD,0.5016,0.377,0.5011,0.3479,0.395,0.3819,0.4733,0.4317,0.4343,0.399,0.3827,0.3884,0.3865,0.3898,0.3625,0.4008,0.3986,0.3858
Env1,0.527,0.5148,0.511,0.5456,0.5153,0.5161,0.5,0.517,0.5201,0.4664,0.4745,0.4704,0.4718,0.4458,0.4702,0.477,0.4648,0.5116
Env2,0.4532,0.4585,0.4598,0.3425,0.4383,0.46,0.3815,0.407,0.4556,0.3601,0.4274,0.3471,0.3738,0.331,0.4179,0.3701,0.3539,0.381
Env4,0.4376,0.42,0.4253,0.3631,0.3815,0.4224,0.4138,0.3784,0.4227,0.3944,0.423,0.3996,0.3959,0.4019,0.422,0.3999,0.3997,0.3865
Env5,0.5183,0.4683,0.4426,0.4119,0.3906,0.4626,0.4478,0.4692,0.4465,0.3912,0.412,0.391,0.398,0.3663,0.4257,0.4032,0.3889,0.4318
