Dataset,P_0.05,P_0.1,P_0.001,P_0.005,P_0.01,P_0.5
ALMA,0.2966,0.2931,0.3045,0.3114,0.2731,0.2941
ALMD,0.2909,0.2932,0.2737,0.2956,0.2985,0.2874
CLMA,0.2862,0.257,0.2693,0.2898,0.2836,0.257
CLMD,0.2900,0.3502,0.3502,0.3502,0.3502,0.3502
Y_age,0.2913,0.2901,0.2912,0.2861,0.2999,0.292
Y_bf,0.2417,0.2399,0.2399,0.2427,0.2373,0.2453
Z_age,0.4115,0.3327,0.3198,0.3926,0.4078,0.3984 
Z_bf,0.4293,0.4167,0.3144,0.3923,0.44,0.428
HT,0.6189,0.6189,0.6189,0.6189,0.6189,0.6189
MO,0.6009,0.6009,0.6009,0.6009,0.6009,0.6009
YLD,0.5089,0.5151,0.5089,0.5221,0.5089,0.5076
Env1,0.5421,0.5134,0.5463,0.5276,0.5271,0.5184
Env2,0.4512,0.43,0.4953,0.4760,0.4344,0.4974
Env4,0.4338,0.4394,0.4464,0.4436,0.4093,0.3992
Env5,0.5277,0.4929,0.4671,0.4675,0.4795,0.4702
